,repo_name,no_forks,no_stars,code_size,no_closed_issues,url
0,automattic/mongoose,3401,24031,80699,11456,https://github.com/automattic/mongoose
1,prisma/prisma,757,21304,49226,9059,https://github.com/prisma/prisma
2,prisma/prisma1,933,16838,194724,5136,https://github.com/prisma/prisma1
3,nodebb/nodebb,2523,12508,73452,10363,https://github.com/nodebb/nodebb
4,budibase/budibase,581,11333,206979,3233,https://github.com/budibase/budibase
5,studio3t/robomongo,747,8859,39392,1882,https://github.com/studio3t/robomongo
6,deviavir/zenbot,2089,8157,31256,2824,https://github.com/deviavir/zenbot
7,richardknop/machinery,763,6057,21774,750,https://github.com/richardknop/machinery
8,mongo-express/mongo-express,824,4495,3460,832,https://github.com/mongo-express/mongo-express
9,mongodb/mongoid,1364,3885,17968,1936,https://github.com/mongodb/mongoid
10,mongoengine/mongoengine,1186,3704,8619,2637,https://github.com/mongoengine/mongoengine
11,spacecloud-io/space-cloud,182,3452,16688,1590,https://github.com/spacecloud-io/space-cloud
12,yougov/mongo-connector,491,1835,2310,932,https://github.com/yougov/mongo-connector
13,grandnode/grandnode,760,1785,388632,1093,https://github.com/grandnode/grandnode
14,nuxt/content,381,1652,6553,1018,https://github.com/nuxt/content
15,rsyslog/rsyslog,570,1560,68829,4825,https://github.com/rsyslog/rsyslog
16,doableware/djongo,282,1513,15127,605,https://github.com/doableware/djongo
17,spring-projects/spring-data-mongodb,950,1381,30893,3963,https://github.com/spring-projects/spring-data-mongodb
18,rwynn/monstache,130,937,1667,605,https://github.com/rwynn/monstache
19,actframework/actframework,122,715,16585,1413,https://github.com/actframework/actframework
20,grails/grails-data-mapping,192,201,324112,1618,https://github.com/grails/grails-data-mapping
21,azist/azos,28,169,26941,659,https://github.com/azist/azos
22,stargate/stargate,80,594,10553,1692,https://github.com/stargate/stargate
23,thelastpickle/cassandra-reaper,182,424,54464,1178,https://github.com/thelastpickle/cassandra-reaper
24,hurence/logisland,31,105,127789,604,https://github.com/hurence/logisland
25,medic/cht-core,166,386,98604,7474,https://github.com/medic/cht-core
26,open-learning-exchange/planet,31,46,10026,7068,https://github.com/open-learning-exchange/planet
27,technicalpursuit/tibet,3,7,126388,303,https://github.com/technicalpursuit/tibet
28,azure/azure-cosmos-dotnet-v3,328,482,150864,3057,https://github.com/azure/azure-cosmos-dotnet-v3
29,azure/cosmos-explorer,26,72,16791,1235,https://github.com/azure/cosmos-explorer
30,oregondigital/od2,1,14,63282,2251,https://github.com/oregondigital/od2
31,elastic/elasticsearch,21435,58918,969661,85027,https://github.com/elastic/elasticsearch
32,grafana/grafana,9417,47557,542500,45555,https://github.com/grafana/grafana
33,elastic/kibana,7131,17212,3836513,128001,https://github.com/elastic/kibana
34,medcl/elasticsearch-analysis-ik,2955,13476,7594,934,https://github.com/medcl/elasticsearch-analysis-ik
35,twintproject/twint,2114,12737,4578,1370,https://github.com/twintproject/twint
36,elastic/beats,4360,10836,386608,30798,https://github.com/elastic/beats
37,typesense/typesense,256,9234,4150,544,https://github.com/typesense/typesense
38,yelp/elastalert,1760,7723,3699,3239,https://github.com/yelp/elastalert
39,deepset-ai/haystack,709,4375,14150,2267,https://github.com/deepset-ai/haystack
40,wazuh/wazuh,715,3470,305427,12723,https://github.com/wazuh/wazuh
41,elastic/curator,637,2912,3359,1641,https://github.com/elastic/curator
42,jprante/elasticsearch-jdbc,722,2832,7823,984,https://github.com/jprante/elasticsearch-jdbc
43,pelias/pelias,216,2766,11120,925,https://github.com/pelias/pelias
44,elastic/apm-server,385,977,67618,7637,https://github.com/elastic/apm-server
