repo_name,no_forks,no_stars,code_size,no_closed_issues,url
michallytek/type-graphql,605,7203,269867,812,https://github.com/michallytek/type-graphql
noripyt/django-cachalot,116,924,1753,195,https://github.com/noripyt/django-cachalot
dallinger/dallinger,34,98,14391,3727,https://github.com/dallinger/dallinger
datadog/integrations-core,1095,655,138268,11902,https://github.com/datadog/integrations-core
databasecleaner/database_cleaner,492,2786,1411,614,https://github.com/databasecleaner/database_cleaner
democracyclub/whocanivotefor,29,33,167232,1118,https://github.com/democracyclub/whocanivotefor
democracyclub/yournextrepresentative,24,17,16452,1691,https://github.com/democracyclub/yournextrepresentative
flowminder/flowkit,17,70,256734,4929,https://github.com/flowminder/flowkit
foalts/foal,111,1545,168268,1040,https://github.com/foalts/foal
googlecloudplatform/nodejs-docs-samples,1759,2394,21507,2638,https://github.com/googlecloudplatform/nodejs-docs-samples
hurence/logisland,30,105,125936,435,https://github.com/hurence/logisland
karaage-cluster/karaage,19,26,10812,1072,https://github.com/karaage-cluster/karaage
kinto/kinto,411,4182,30261,2897,https://github.com/kinto/kinto
looselab/minotourapp,0,20,164201,280,https://github.com/looselab/minotourapp
microsoft/applicationinsights-node.js,123,272,2744,885,https://github.com/microsoft/applicationinsights-node.js
microsoft/node-diagnostic-channel,21,45,744,98,https://github.com/microsoft/node-diagnostic-channel
apache/skywalking,5688,19349,163581,8321,https://github.com/apache/skywalking
privacyscore/privacyscore,23,102,5371,30,https://github.com/privacyscore/privacyscore
rasahq/rasa,3989,13979,1548637,10169,https://github.com/rasahq/rasa
royal-society-of-new-zealand/nz-orcid-hub,6,13,11759,1266,https://github.com/royal-society-of-new-zealand/nz-orcid-hub
steeltoeoss/steeltoe,130,762,14468,716,https://github.com/steeltoeoss/steeltoe
techempower/frameworkbenchmarks,1722,6383,303824,7147,https://github.com/techempower/frameworkbenchmarks
uw-cosmos/cosmos,11,31,382853,131,https://github.com/uw-cosmos/cosmos
weblateorg/weblate,713,2937,1719944,6936,https://github.com/weblateorg/weblate
xabaril/aspnetcore.diagnostics.healthchecks,586,2855,7929,925,https://github.com/xabaril/aspnetcore.diagnostics.healthchecks
accounts-js/accounts,145,1413,17298,1111,https://github.com/accounts-js/accounts
alephdata/aleph,236,1593,61288,2135,https://github.com/alephdata/aleph
appoptics/appoptics-apm-node,9,10,20401,253,https://github.com/appoptics/appoptics-apm-node
celery/celery,4274,19335,33582,6721,https://github.com/celery/celery
census-instrumentation/opencensus-python,230,614,2498,926,https://github.com/census-instrumentation/opencensus-python
clevertech/boilerplate,35,108,7858,69,https://github.com/clevertech/boilerplate
ff4j/ff4j,247,1060,10754,526,https://github.com/ff4j/ff4j
cube-js/cube.js,1291,12956,190149,3871,https://github.com/cube-js/cube.js
danielgerlag/workflow-core,930,3853,2057,744,https://github.com/danielgerlag/workflow-core
datagrok-ai/public,17,18,632437,362,https://github.com/datagrok-ai/public
dpgaspar/flask-appbuilder,1180,3753,42762,1770,https://github.com/dpgaspar/flask-appbuilder
dssg/triage,57,151,305716,696,https://github.com/dssg/triage
ealgis/ealgis,9,16,14513,141,https://github.com/ealgis/ealgis
elastic/apm-agent-python,167,352,7661,1460,https://github.com/elastic/apm-agent-python
elastic/apm-agent-ruby,113,151,2276,1194,https://github.com/elastic/apm-agent-ruby
perfsonar/esmond,10,10,9480,70,https://github.com/perfsonar/esmond
getredash/redash,3680,21048,27682,5034,https://github.com/getredash/redash
getsentry/sentry,3458,30859,254088,33914,https://github.com/getsentry/sentry
globocom/database-as-a-service,88,323,11629,711,https://github.com/globocom/database-as-a-service
glowroot/glowroot,235,996,32582,714,https://github.com/glowroot/glowroot
gocd/gocd,931,6450,342158,10363,https://github.com/gocd/gocd
godaddy/terminus,96,1546,1955,200,https://github.com/godaddy/terminus
homeaway/datapull,29,23,20546,141,https://github.com/homeaway/datapull
jaeksoft/opensearchserver,180,445,522473,1713,https://github.com/jaeksoft/opensearchserver
jetoile/hadoop-unit,16,49,24264,106,https://github.com/jetoile/hadoop-unit
keiffster/program-y,125,318,37686,284,https://github.com/keiffster/program-y
kensho-technologies/graphql-compiler,53,508,6622,909,https://github.com/kensho-technologies/graphql-compiler
kobotoolbox/kobocat,110,96,24539,690,https://github.com/kobotoolbox/kobocat
libertysoft3/saidit,35,199,68369,68,https://github.com/libertysoft3/saidit
librariesio/bibliothecary,37,76,1699,517,https://github.com/librariesio/bibliothecary
lorien/grab,269,2187,5790,384,https://github.com/lorien/grab
microfleet/core,9,37,7895,595,https://github.com/microfleet/core
microsoft/oryx,111,436,29922,1338,https://github.com/microsoft/oryx
mitocw/edx-platform,2,8,1382040,250,https://github.com/mitocw/edx-platform
mitodl/micromasters,16,28,38368,4890,https://github.com/mitodl/micromasters
muccg/rdrf,7,14,67715,2122,https://github.com/muccg/rdrf
nestjs/nest,5324,46931,251896,9275,https://github.com/nestjs/nest
newrelic/node-newrelic,335,865,20743,1106,https://github.com/newrelic/node-newrelic
newsgac/platform,1,5,3832,178,https://github.com/newsgac/platform
onaio/onadata,127,175,36377,2108,https://github.com/onaio/onadata
opentracing-contrib/java-specialagent,52,175,9611,566,https://github.com/opentracing-contrib/java-specialagent
parse-community/parse-sdk-js,589,1248,9684,1423,https://github.com/parse-community/parse-sdk-js
parse-community/parse-dashboard,1368,3591,12062,2037,https://github.com/parse-community/parse-dashboard
politics-rewired/spoke,13,29,16826,1028,https://github.com/politics-rewired/spoke
polyaxon/polyaxon,303,3084,126123,1336,https://github.com/polyaxon/polyaxon
polypheny/polypheny-db,40,72,22727,314,https://github.com/polypheny/polypheny-db
prestodb/presto,4621,13470,171401,16754,https://github.com/prestodb/presto
pwnlandia/mhn,637,2250,3825,649,https://github.com/pwnlandia/mhn
python-diamond/diamond,595,1669,4088,588,https://github.com/python-diamond/diamond
rpush/rpush,305,2067,27790,617,https://github.com/rpush/rpush
signalfx/signalfx-agent,167,102,38517,2192,https://github.com/signalfx/signalfx-agent
spring-cloud/spring-cloud-vault,123,236,4061,620,https://github.com/spring-cloud/spring-cloud-vault
spring-projects/spring-boot,36393,61167,150867,30280,https://github.com/spring-projects/spring-boot
